candidate_id,case_id,combination_size,mutation_ids,expected_groups,observed_groups,violation_codes,candidate_sha256,canonical_sha256,candidate_changed,exact_validator_accepted,exact_exception,decomposed_validator_accepted,attribution_exact,caller_state_unchanged,pass
K2_15,replace_pending_target,2,M04;M08,goal_consistency;unaffected_scope,goal_consistency;unaffected_scope,goal_consistency:goal_does_not_match_event_effect;unaffected_scope:commitment_changed:deliver:a,a20cfb79c6c46d36a27836a024736e38ae82ad00977e21052f135e1fa8d1e3a6,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_16,replace_pending_target,2,M05;M06,progress_preservation;action_continuity,progress_preservation;action_continuity,progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;action_continuity:plan_does_not_match_event_continuity,8782dbc01ec41fe12eebd89ee955830a5bc2906de676d094f74abcec7aa52a8e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_17,replace_pending_target,2,M05;M07,progress_preservation;restoration_entity,progress_preservation;restoration_entity,progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,3b199977d9db92522a5ca537c4ccca02097bf7db7af664a487c5f2cb017d576e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_18,replace_pending_target,2,M05;M08,progress_preservation;unaffected_scope,progress_preservation;unaffected_scope,progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;unaffected_scope:commitment_changed:deliver:a,c9fde3078f958d2c9b33fa381d628da45c33d8ac4d582e9ee62d9fb7b82ec574,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_19,replace_pending_target,2,M06;M07,action_continuity;restoration_entity,action_continuity;restoration_entity,action_continuity:plan_does_not_match_event_continuity;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,3595b02781eb86a3499fae5e58f3a113af0e9c7bac1f9731c238440ffe207263,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_20,replace_pending_target,2,M06;M08,action_continuity;unaffected_scope,action_continuity;unaffected_scope,action_continuity:plan_does_not_match_event_continuity;unaffected_scope:commitment_changed:deliver:a,e336883aa627b675966ca7901cdea44edd7a1571e76daac203281c0c0d59cf72,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K2_21,replace_pending_target,2,M07;M08,restoration_entity;unaffected_scope,restoration_entity;unaffected_scope,restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect;unaffected_scope:commitment_changed:deliver:a,b3c04e22d420969d612d921fbb820881e70123946df0888494401272c9d8f13d,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_01,replace_pending_target,3,M02;M03;M04,version_evidence;identity_lifecycle;goal_consistency,version_evidence;identity_lifecycle;goal_consistency,version_evidence:state_version_not_advanced_once;identity_lifecycle:replacement_target_not_superseded;goal_consistency:goal_does_not_match_event_effect,2da858ab984923950b4ef13d348bee313c654322d2fe76a7c41fd32f2e7d9ee1,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_02,replace_pending_target,3,M02;M03;M05,version_evidence;identity_lifecycle;progress_preservation,version_evidence;identity_lifecycle;progress_preservation,version_evidence:state_version_not_advanced_once;identity_lifecycle:replacement_target_not_superseded;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,ffbddb12321367c54fbe529bbb35b5eeb4ae9928099e12eee26b427b1a809768,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_03,replace_pending_target,3,M02;M03;M06,version_evidence;identity_lifecycle;action_continuity,version_evidence;identity_lifecycle;action_continuity,version_evidence:state_version_not_advanced_once;identity_lifecycle:replacement_target_not_superseded;action_continuity:plan_does_not_match_event_continuity,4c43951d6ed61c265545fef67ccc6ac09b6822cc9a07aa05b1decf8c15f4105e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_04,replace_pending_target,3,M02;M03;M07,version_evidence;identity_lifecycle;restoration_entity,version_evidence;identity_lifecycle;restoration_entity,version_evidence:state_version_not_advanced_once;identity_lifecycle:replacement_target_not_superseded;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,27fb57a1feb07895cdbc9232c8433ea0eaa5c2c1ac78f9f406ff56473eca82ac,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_05,replace_pending_target,3,M02;M03;M08,version_evidence;identity_lifecycle;unaffected_scope,version_evidence;identity_lifecycle;unaffected_scope,version_evidence:state_version_not_advanced_once;identity_lifecycle:replacement_target_not_superseded;unaffected_scope:commitment_changed:deliver:a,d19d639abf8f8b559ee91d4fd4aadc565a1c4fba02192fb03e4c0bf7474c8f6b,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_06,replace_pending_target,3,M02;M04;M05,version_evidence;goal_consistency;progress_preservation,version_evidence;goal_consistency;progress_preservation,version_evidence:state_version_not_advanced_once;goal_consistency:goal_does_not_match_event_effect;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,31fc5d154bbc2bfc4e074c8e2b2ca3e55a52092fc5bff9994c404f89c435efea,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_07,replace_pending_target,3,M02;M04;M06,version_evidence;goal_consistency;action_continuity,version_evidence;goal_consistency;action_continuity,version_evidence:state_version_not_advanced_once;goal_consistency:goal_does_not_match_event_effect;action_continuity:plan_does_not_match_event_continuity,fbdef186707aabb8bbd23cb04388284678a4d387df84d0acf529a46a0ffc722f,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_08,replace_pending_target,3,M02;M04;M07,version_evidence;goal_consistency;restoration_entity,version_evidence;goal_consistency;restoration_entity,version_evidence:state_version_not_advanced_once;goal_consistency:goal_does_not_match_event_effect;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,d8900a5aa0fa51591fb3b8704da11b893463953ed26244acbdf2d9be7cccdccc,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_09,replace_pending_target,3,M02;M04;M08,version_evidence;goal_consistency;unaffected_scope,version_evidence;goal_consistency;unaffected_scope,version_evidence:state_version_not_advanced_once;goal_consistency:goal_does_not_match_event_effect;unaffected_scope:commitment_changed:deliver:a,ff4bc27ec3040cb12ce508e3becb783514ec100f3ef79820e55f4cdb1140d79a,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_10,replace_pending_target,3,M02;M05;M06,version_evidence;progress_preservation;action_continuity,version_evidence;progress_preservation;action_continuity,version_evidence:state_version_not_advanced_once;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;action_continuity:plan_does_not_match_event_continuity,97cf8050c0f1a38a0d1787022a60395ccc9ba78d18af3f30eb4a0bddfed3265e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_11,replace_pending_target,3,M02;M05;M07,version_evidence;progress_preservation;restoration_entity,version_evidence;progress_preservation;restoration_entity,version_evidence:state_version_not_advanced_once;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,cfc2dee7c1cb66a6c865b68cc04f278764003b15fc9d733115282e8afa8ec3d4,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_12,replace_pending_target,3,M02;M05;M08,version_evidence;progress_preservation;unaffected_scope,version_evidence;progress_preservation;unaffected_scope,version_evidence:state_version_not_advanced_once;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;unaffected_scope:commitment_changed:deliver:a,713d96a33078a4b8deeedde336eb1acf69fa853c9551e46817e52acf8a63146b,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_13,replace_pending_target,3,M02;M06;M07,version_evidence;action_continuity;restoration_entity,version_evidence;action_continuity;restoration_entity,version_evidence:state_version_not_advanced_once;action_continuity:plan_does_not_match_event_continuity;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,09ae8825b86a3f83c00c163c65ecd9eb0778104505400f794dd9e893016acc98,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_14,replace_pending_target,3,M02;M06;M08,version_evidence;action_continuity;unaffected_scope,version_evidence;action_continuity;unaffected_scope,version_evidence:state_version_not_advanced_once;action_continuity:plan_does_not_match_event_continuity;unaffected_scope:commitment_changed:deliver:a,bdc32fab8837dbd896d41b832b1717c912026027d8d94621ac493aaae4772784,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_15,replace_pending_target,3,M02;M07;M08,version_evidence;restoration_entity;unaffected_scope,version_evidence;restoration_entity;unaffected_scope,version_evidence:state_version_not_advanced_once;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect;unaffected_scope:commitment_changed:deliver:a,50447f38ae4268b979c932434360f28eace2cebe2cc0020a535103cb22b8c91c,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_16,replace_pending_target,3,M03;M04;M05,identity_lifecycle;goal_consistency;progress_preservation,identity_lifecycle;goal_consistency;progress_preservation,identity_lifecycle:replacement_target_not_superseded;goal_consistency:goal_does_not_match_event_effect;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a,47fef469e03fa9a21cc36599ea30acd789e011541f7f5e6782a344de8fd17c8e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_17,replace_pending_target,3,M03;M04;M06,identity_lifecycle;goal_consistency;action_continuity,identity_lifecycle;goal_consistency;action_continuity,identity_lifecycle:replacement_target_not_superseded;goal_consistency:goal_does_not_match_event_effect;action_continuity:plan_does_not_match_event_continuity,9caf818cd7ae89ca4896c5f3b5d02525e62e05b50cc14008c42baf5d4a095f44,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_18,replace_pending_target,3,M03;M04;M07,identity_lifecycle;goal_consistency;restoration_entity,identity_lifecycle;goal_consistency;restoration_entity,identity_lifecycle:replacement_target_not_superseded;goal_consistency:goal_does_not_match_event_effect;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,8fa5e515930d393d29ef264b695cd61ccba921dfa8cc266e8b94ca338f856004,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_19,replace_pending_target,3,M03;M04;M08,identity_lifecycle;goal_consistency;unaffected_scope,identity_lifecycle;goal_consistency;unaffected_scope,identity_lifecycle:replacement_target_not_superseded;goal_consistency:goal_does_not_match_event_effect;unaffected_scope:commitment_changed:deliver:a,a79d455dc4ef7c74fbd60189bc423b754f3b44cd04f19137e4bb8032c49c9b05,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_20,replace_pending_target,3,M03;M05;M06,identity_lifecycle;progress_preservation;action_continuity,identity_lifecycle;progress_preservation;action_continuity,identity_lifecycle:replacement_target_not_superseded;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;action_continuity:plan_does_not_match_event_continuity,ae6e23b29ff944bab12619b9c67b8927f7949149551a650267187e9f28228a8e,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_21,replace_pending_target,3,M03;M05;M07,identity_lifecycle;progress_preservation;restoration_entity,identity_lifecycle;progress_preservation;restoration_entity,identity_lifecycle:replacement_target_not_superseded;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,9254a64793c318d49161625b21175e96649eedbdc790921cb7fc8395baf462ee,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_22,replace_pending_target,3,M03;M05;M08,identity_lifecycle;progress_preservation;unaffected_scope,identity_lifecycle;progress_preservation;unaffected_scope,identity_lifecycle:replacement_target_not_superseded;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;unaffected_scope:commitment_changed:deliver:a,70fdfb17f305be6c86019b6991c1c51fb19bc138961b50a61e5cdb800fb84973,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_23,replace_pending_target,3,M03;M06;M07,identity_lifecycle;action_continuity;restoration_entity,identity_lifecycle;action_continuity;restoration_entity,identity_lifecycle:replacement_target_not_superseded;action_continuity:plan_does_not_match_event_continuity;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,f362f51feb06a852eae4b4709922b70d3a3b243ab8b1953f4b9069ad2b58dd09,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_24,replace_pending_target,3,M03;M06;M08,identity_lifecycle;action_continuity;unaffected_scope,identity_lifecycle;action_continuity;unaffected_scope,identity_lifecycle:replacement_target_not_superseded;action_continuity:plan_does_not_match_event_continuity;unaffected_scope:commitment_changed:deliver:a,e3fa9b5bcbb17aa589df6ae2713eeafffa67ea9340aad80f1f8b4f2230bb2049,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_25,replace_pending_target,3,M03;M07;M08,identity_lifecycle;restoration_entity;unaffected_scope,identity_lifecycle;restoration_entity;unaffected_scope,identity_lifecycle:replacement_target_not_superseded;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect;unaffected_scope:commitment_changed:deliver:a,06296d7cf39311331378607fa3ca394ab2f22819e75cc0a7c65c4e6f4086e1b9,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_26,replace_pending_target,3,M04;M05;M06,goal_consistency;progress_preservation;action_continuity,goal_consistency;progress_preservation;action_continuity,goal_consistency:goal_does_not_match_event_effect;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;action_continuity:plan_does_not_match_event_continuity,c77b6cddde01f9d8d08cd67e608c870c0bd17a71990ec1cd12818fe814f6ed17,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_27,replace_pending_target,3,M04;M05;M07,goal_consistency;progress_preservation;restoration_entity,goal_consistency;progress_preservation;restoration_entity,goal_consistency:goal_does_not_match_event_effect;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;restoration_entity:replacement_entity_missing_or_wrong;restoration_entity:entity_id_set_incorrect,b48ed7c68ebbced0fe2aa86ce9b031ccc3e05cd5ec1794f4f71fcee7b145ac27,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
K3_28,replace_pending_target,3,M04;M05;M08,goal_consistency;progress_preservation;unaffected_scope,goal_consistency;progress_preservation;unaffected_scope,goal_consistency:goal_does_not_match_event_effect;progress_preservation:progress_record_set_changed;progress_preservation:progress_ids_changed;progress_preservation:preserved_progress_changed:deliver:a;unaffected_scope:commitment_changed:deliver:a,33eda86370870a861da631133dbcf5b453b7ca387f5eea2b658d31dc4d8512fa,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,True,False,NativeOutputError:candidate post-state is not event-bound canonical state,False,True,True,True
