task_id,initial_state_id,policy_seeds,seed_pair_exact_replay,successes_in_seed_pair,status,policy_steps_per_seed,goal_a,goal_a_ever,goal_a_terminal,goal_a_first_policy_step,goal_a_regressions,goal_b,goal_b_ever,goal_b_terminal,goal_b_first_policy_step,goal_b_regressions,goal_a_lift_signal,goal_a_lift_ever,goal_a_lift_terminal,goal_a_lift_first_policy_step,goal_b_lift_signal,goal_b_lift_ever,goal_b_lift_terminal,goal_b_lift_first_policy_step,validated_actions_per_seed,gripper_minus_one_per_seed,gripper_plus_one_per_seed,classification,seed101_trace_sha256,seed131_trace_sha256,evidence
4,0,101;131,True,2,completed,230,white_mug_on_left_plate,True,True,86,2,yellow_white_mug_on_right_plate,True,True,230,0,white_mug_lifted,False,False,,yellow_white_mug_lifted,False,False,,230,112,118,SUCCESS_BOTH_GOALS,93bdfd0b69a46f3fbef44de64b1e81d5750580ec80dba20b6a906a27ae522e39,fc330c40578428cb94902a347e35302f3e5a1f1b86376af1e0435b649a41f2d7,clean_calibration_01/task_4_state_0_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_4_state_0_seed_131/ACTION_TRACE.txt
4,1,101;131,True,0,timeout,260,white_mug_on_left_plate,True,False,91,2,yellow_white_mug_on_right_plate,False,False,,0,white_mug_lifted,False,False,,yellow_white_mug_lifted,True,False,201,260,137,123,GOAL_A_REGRESSED_NO_FINAL_GOAL_B,dacf715e7104478904bca036b4ba209b37d1b7eb5820479462d4fe2ce936341c,c805aae9b6ce492de09f2de9c5603f501bca5dfbf582e413b3957d4724d2228d,clean_calibration_01/task_4_state_1_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_4_state_1_seed_131/ACTION_TRACE.txt
4,2,101;131,True,2,completed,208,white_mug_on_left_plate,True,True,97,0,yellow_white_mug_on_right_plate,True,True,208,0,white_mug_lifted,True,False,68,yellow_white_mug_lifted,False,False,,208,105,103,SUCCESS_BOTH_GOALS,b56666dea903321c5bf18b733defce0cbd1e22f9bd4dfe7650f87fe6bd93fc0e,53b6c82523f621e4ce0d551e72e90d04b6db00402ec244c8a859b2e4aae7c6b1,clean_calibration_01/task_4_state_2_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_4_state_2_seed_131/ACTION_TRACE.txt
4,3,101;131,True,0,timeout,260,white_mug_on_left_plate,True,True,107,2,yellow_white_mug_on_right_plate,False,False,,0,white_mug_lifted,False,False,,yellow_white_mug_lifted,False,False,,260,142,118,GOAL_A_ONLY_NO_VERIFIED_GOAL_B_PLACEMENT,d14395c7123c6dcc886d4ffd46b4936fd6ef9fc2912e2051fff3faa3a3acc489,2c3d968a90adf7218d9cc4972f19126fd83f08d386fa547d575748db56d24d63,clean_calibration_01/task_4_state_3_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_4_state_3_seed_131/ACTION_TRACE.txt
4,4,101;131,True,0,timeout,260,white_mug_on_left_plate,True,True,114,1,yellow_white_mug_on_right_plate,False,False,,0,white_mug_lifted,False,False,,yellow_white_mug_lifted,False,False,,260,122,138,GOAL_A_ONLY_NO_VERIFIED_GOAL_B_PLACEMENT,100b4186310b87d46e9142b6b788f66ccada9b1a7c825f0722ad8d09fbdfacda,d0ec781a2c5b243f7a24c134bbb7379a914c363e45470c4f9bbf3e6dd52d8a5c,clean_calibration_01/task_4_state_4_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_4_state_4_seed_131/ACTION_TRACE.txt
8,0,101;131,True,0,timeout,260,right_moka_pot_on_stove,False,False,,0,left_moka_pot_on_stove,True,True,200,1,right_moka_pot_lifted,False,False,,left_moka_pot_lifted,True,False,166,260,186,74,GOAL_B_ONLY_NO_VERIFIED_GOAL_A_PLACEMENT,d3f9f4982de411f0eb4b9ce790ea192755d50e878fa375135e6cd29483f2b4a2,db3949b56487ee7c769c655f03d371e5a37f49f2ab1e722ed2c3aa15ff466b06,clean_calibration_01/task_8_state_0_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_8_state_0_seed_131/ACTION_TRACE.txt
8,1,101;131,True,0,timeout,260,right_moka_pot_on_stove,False,False,,0,left_moka_pot_on_stove,True,True,221,0,right_moka_pot_lifted,False,False,,left_moka_pot_lifted,True,False,182,260,135,125,GOAL_B_ONLY_NO_VERIFIED_GOAL_A_PLACEMENT,1884c0fb26392c58f6bcce1646b00d9aa17ea65b6db53e9cdba847b363ef11f4,9dd0239ee6cdb94707b7c7d9d7684d30a0fb9826115c3bd0ab7216dc0da36626,clean_calibration_01/task_8_state_1_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_8_state_1_seed_131/ACTION_TRACE.txt
8,2,101;131,True,0,timeout,260,right_moka_pot_on_stove,False,False,,0,left_moka_pot_on_stove,True,True,180,0,right_moka_pot_lifted,False,False,,left_moka_pot_lifted,True,False,142,260,199,61,GOAL_B_ONLY_NO_VERIFIED_GOAL_A_PLACEMENT,a3886137d2ae2c57e95fd1c49899de0fadafc33a9f0dd1ff1bf236b0a97b66b8,d1e62ddfa400db2f24df1eb1ffa81bd5d69cd41400fa4905ec64300d28ec13d3,clean_calibration_01/task_8_state_2_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_8_state_2_seed_131/ACTION_TRACE.txt
8,3,101;131,True,0,timeout,260,right_moka_pot_on_stove,False,False,,0,left_moka_pot_on_stove,True,True,248,0,right_moka_pot_lifted,False,False,,left_moka_pot_lifted,True,False,191,260,125,135,GOAL_B_ONLY_NO_VERIFIED_GOAL_A_PLACEMENT,b993058dae6dbe3a8ef36ec326461b74e9b9d75805c3ccdda7ee49c6638b4188,ced45d3d617faf86901543849b5cedfea2d14cb4121a1e0d198830884ff42834,clean_calibration_01/task_8_state_3_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_8_state_3_seed_131/ACTION_TRACE.txt
8,4,101;131,True,0,timeout,260,right_moka_pot_on_stove,False,False,,0,left_moka_pot_on_stove,False,False,,0,right_moka_pot_lifted,False,False,,left_moka_pot_lifted,False,False,,260,177,83,NO_VERIFIED_PLACEMENT_PROGRESS,b470a1d3c5fa0f5bd452493670457a622569c37b92500ec52c545f3689bb83ce,0997e0cb4869b5e066c5bf8a529219cf28a10fc0ed151836d7dc8647374e8ee8,clean_calibration_01/task_8_state_4_seed_101/ACTION_TRACE.txt;clean_calibration_01/task_8_state_4_seed_131/ACTION_TRACE.txt
