suite,task_id,state_id,mode,prompt,warmup_steps,first_skill_success,first_failure_reason,event_count,patch_count,all_patches_accepted,revision_path,hash_chain_valid,final_lineage,oracle_operation_selection,provider_called,selected_object,second_skill_success,second_failure_reason,done_object_in_region,butter_in_region,alphabet_soup_in_region,tomato_sauce_in_region,valid_progress_retained,original_goal_success,single_replacement_goal_success,double_replacement_goal_success,first_stale_commitment_executed,second_stale_commitment_executed,environment_steps,source_csv
libero_10,1,2,double_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,308,research/oracle_repeated_replacement/state02_double_event_no_edit.csv
libero_10,1,2,double_patch,put both the cream cheese box and the butter in the basket,10,True,,2,2,True,1>2>3,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region>goal:in:tomato_sauce_1:basket_1_contain_region,True,False,tomato_sauce_1,True,,True,False,False,True,True,False,False,True,False,False,356,research/oracle_repeated_replacement/state02_double_patch.csv
libero_10,1,2,original,put both the cream cheese box and the butter in the basket,10,True,,0,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,308,research/oracle_repeated_replacement/state02_original.csv
libero_10,1,2,second_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,372,research/oracle_repeated_replacement/state02_second_event_no_edit.csv
libero_10,1,2,single_patch,put both the cream cheese box and the butter in the basket,10,True,,1,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,372,research/oracle_repeated_replacement/state02_single_patch.csv
libero_10,1,3,double_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,321,research/oracle_repeated_replacement/state03_double_event_no_edit.csv
libero_10,1,3,double_patch,put both the cream cheese box and the butter in the basket,10,True,,2,2,True,1>2>3,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region>goal:in:tomato_sauce_1:basket_1_contain_region,True,False,tomato_sauce_1,True,,True,False,False,True,True,False,False,True,False,False,371,research/oracle_repeated_replacement/state03_double_patch.csv
libero_10,1,3,original,put both the cream cheese box and the butter in the basket,10,True,,0,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,321,research/oracle_repeated_replacement/state03_original.csv
libero_10,1,3,second_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,392,research/oracle_repeated_replacement/state03_second_event_no_edit.csv
libero_10,1,3,single_patch,put both the cream cheese box and the butter in the basket,10,True,,1,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,392,research/oracle_repeated_replacement/state03_single_patch.csv
libero_10,1,4,double_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,326,research/oracle_repeated_replacement/state04_double_event_no_edit.csv
libero_10,1,4,double_patch,put both the cream cheese box and the butter in the basket,10,True,,2,2,True,1>2>3,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region>goal:in:tomato_sauce_1:basket_1_contain_region,True,False,tomato_sauce_1,True,,True,False,False,True,True,False,False,True,False,False,374,research/oracle_repeated_replacement/state04_double_patch.csv
libero_10,1,4,original,put both the cream cheese box and the butter in the basket,10,True,,0,0,False,,True,,,,butter_1,True,,True,True,False,False,True,True,False,False,True,False,326,research/oracle_repeated_replacement/state04_original.csv
libero_10,1,4,second_event_no_edit,put both the cream cheese box and the butter in the basket,10,True,,2,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,390,research/oracle_repeated_replacement/state04_second_event_no_edit.csv
libero_10,1,4,single_patch,put both the cream cheese box and the butter in the basket,10,True,,1,1,True,1>2,True,goal:in:butter_1:basket_1_contain_region>goal:in:alphabet_soup_1:basket_1_contain_region,True,False,alphabet_soup_1,True,,True,False,True,False,True,False,True,False,False,True,390,research/oracle_repeated_replacement/state04_single_patch.csv
