schema_version,dependency_id,category,locator,identity_kind,expected_identity,observed_identity,clean_required,clean_observed,status,evidence
cope-runtime-provenance-v2,openvla_runner,runner,/home/lijingsu/codex-worktrees/openvla-cope-cleanroom/experiments/robot/libero/run_libero_eval.py,sha256,369d9fc3d59067998ebfadafbd516872c7ff6f9f06a0a48cda8b6ca48051de77,369d9fc3d59067998ebfadafbd516872c7ff6f9f06a0a48cda8b6ca48051de77,true,true,PASS,"upstream-clean runner; optional smoke-limit modification deliberately excluded"
cope-runtime-provenance-v2,openvla_utils,runner,/home/lijingsu/codex-worktrees/openvla-cope-cleanroom/experiments/robot/openvla_utils.py,sha256,539687fa13e8fc69b79289cbb2be1b7e1076dcaae4dc0cbfb5e76c6739a38e61,539687fa13e8fc69b79289cbb2be1b7e1076dcaae4dc0cbfb5e76c6739a38e61,true,true,PASS,"minimal committed SDPA compatibility patch; flash-attn absent"
cope-runtime-provenance-v2,cope_live_runner,runner,/home/lijingsu/codex-worktrees/cope-true-clean-runtime/cope/semantic_live_runner.py,sha256,8a2ac99681d78995f0bc288705442ba1f61cb552d2418c2580b01b386ab83c7e,8a2ac99681d78995f0bc288705442ba1f61cb552d2418c2580b01b386ab83c7e,true,true,PASS,"unchanged from fba9f32"
cope-runtime-provenance-v2,cope_runner_entry,runner,/home/lijingsu/codex-worktrees/cope-true-clean-runtime/experiments/live_semantic_runner.py,sha256,17ead1b48b38a1cbffaf1e9cf221f636926a49ebe511c0b5a46e4b9a1d564bfb,17ead1b48b38a1cbffaf1e9cf221f636926a49ebe511c0b5a46e4b9a1d564bfb,true,true,PASS,"unchanged from fba9f32"
cope-runtime-provenance-v2,cope_runtime_wrapper,config,/home/lijingsu/codex-worktrees/cope-true-clean-runtime/scripts/run_project_env.sh,sha256,7aac1b843da25d1f5b8be9db71ea373318ae96d6856b82aa75da142377632600,7aac1b843da25d1f5b8be9db71ea373318ae96d6856b82aa75da142377632600,true,true,PASS,"fails closed to clean OpenVLA/LIBERO/config paths"
cope-runtime-provenance-v2,semantic_config,config,/home/lijingsu/codex-worktrees/cope-true-clean-runtime/manifests/semantic_task1_config_v1.csv,sha256,7a7371c94a3176a21979f3b4316f542cab2bdc166fda56c90f1a8ddee76626a2,7a7371c94a3176a21979f3b4316f542cab2bdc166fda56c90f1a8ddee76626a2,true,true,PASS,"pins corrected checkpoint aggregate and clean source commits"
cope-runtime-provenance-v2,libero_config,config,/home/lijingsu/codex-worktrees/cope-runtime-config-20260803/config.yaml,sha256,aa8aa28d67faa43ff3afabe3fd6332a2093cab4fc155bffe31b59a3c2aee3a39,aa8aa28d67faa43ff3afabe3fd6332a2093cab4fc155bffe31b59a3c2aee3a39,true,true,PASS,"points benchmark/assets/BDDL/init to clean LIBERO tree"
cope-runtime-provenance-v2,reserved_state_lock,reservation,/home/lijingsu/codex-worktrees/cope-runtime-config-20260803/reserved_state_lock.csv,sha256,3e66003b8832c3d711a411bd263d3cf6d75b23ebccfa776cef3b9eb9cbc65c5e,3e66003b8832c3d711a411bd263d3cf6d75b23ebccfa776cef3b9eb9cbc65c5e,true,true,PASS,"exact IDs 27-49; 27-46 formal_candidate; 47-49 permanent_reserve; all locked_unconsumed"
cope-runtime-provenance-v2,preflight,gate,/home/lijingsu/codex-worktrees/cope-runtime-config-20260803/preflight_check.txt,sha256,20fc15d1f2eba34370206ab806890a9ea45eac73689b30a12005c65f9838be89,20fc15d1f2eba34370206ab806890a9ea45eac73689b30a12005c65f9838be89,true,true,PASS,"53/53 current-host checks passed"
cope-runtime-provenance-v2,formal_output_target,output,/home/lijingsu/codex-deliveries/cope_formal_RESERVED_RUN_ID_REQUIRED,nonexistent_path,ABSENT,ABSENT,false,not_applicable,PASS,"preflight did not create it"
