schema_version,case_id,triple_index,recurrence_depth,done_object,recurring_object,intermediate_object,arm_order,provider_calls_per_arm,model,temperature,seed,max_completion_tokens,retry_budget,contract_family_sha256
occurrence-confirmatory-manifest-v3,occurrence-v3-h05-d4,5,4,mug_1,sugar_box_1,apple_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260933,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h06-d1,6,1,sugar_box_1,apple_1,banana_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260934,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h06-d2,6,2,sugar_box_1,apple_1,banana_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260935,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h06-d3,6,3,sugar_box_1,apple_1,banana_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260936,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h06-d4,6,4,sugar_box_1,apple_1,banana_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260937,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h07-d1,7,1,apple_1,banana_1,coffee_jar_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260938,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h07-d2,7,2,apple_1,banana_1,coffee_jar_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260939,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h07-d3,7,3,apple_1,banana_1,coffee_jar_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260940,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h07-d4,7,4,apple_1,banana_1,coffee_jar_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260941,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h08-d1,8,1,banana_1,bread_1,lemon_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260942,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h08-d2,8,2,banana_1,bread_1,lemon_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260943,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h08-d3,8,3,banana_1,bread_1,lemon_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260944,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h08-d4,8,4,banana_1,bread_1,lemon_1,cope;neutral_patch;governed_delta;fsr_pc;full_replan,1,qwen/qwen3.5-flash-02-23,0.0,20260945,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h09-d1,9,1,bread_1,coffee_jar_1,mug_1,neutral_patch;governed_delta;fsr_pc;full_replan;cope,1,qwen/qwen3.5-flash-02-23,0.0,20260946,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h09-d2,9,2,bread_1,coffee_jar_1,mug_1,governed_delta;fsr_pc;full_replan;cope;neutral_patch,1,qwen/qwen3.5-flash-02-23,0.0,20260947,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h09-d3,9,3,bread_1,coffee_jar_1,mug_1,fsr_pc;full_replan;cope;neutral_patch;governed_delta,1,qwen/qwen3.5-flash-02-23,0.0,20260948,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
occurrence-confirmatory-manifest-v3,occurrence-v3-h09-d4,9,4,bread_1,coffee_jar_1,mug_1,full_replan;cope;neutral_patch;governed_delta;fsr_pc,1,qwen/qwen3.5-flash-02-23,0.0,20260949,4096,0,2acefc6a604a81c61d8a48ac49d0d381139d6f059f5c580f44ab1d402a04c395
