case_id,family,disposition,arm,call_order_position,provider_status,provider_error,parser_valid,semantic_correct,unsafe_mutation_attempt,input_hash,common_input_bytes_sha256,normalized_request_sha256,fairness_pass,response_sha256,prompt_tokens,completion_tokens,proposal_bytes,latency_seconds,retry_count,parse_or_validation_error,model,reasoning_effort,temperature,seed,max_completion_tokens,timeout_seconds,retry_budget,repair_budget,fallback_used,oracle_substitution
X16-R02,release,APPLY,compact_tx,2,ok,,True,False,True,4e56daa365487c58e24790badd8084f1e177507aa602c7f2a3442f1b0a06a6a3,a27af050dd16ebc59ae41e5019e5b6efc2e1fe2561ae32ee48d9749fd15452f3,fd0e45930480cbdbe000b3c252faeaed448e4ec0c67f34d2f7a55e15f962404c,True,4e130783f31cb56abc4e4a3d6147b9ac44bba76b964d25c5315eed919e593f76,920,146,517,1.255104,0,ValueError:compact path invalid: /restorations/+,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-R02,release,APPLY,cope,3,ok,,True,False,True,4e56daa365487c58e24790badd8084f1e177507aa602c7f2a3442f1b0a06a6a3,a27af050dd16ebc59ae41e5019e5b6efc2e1fe2561ae32ee48d9749fd15452f3,fd0e45930480cbdbe000b3c252faeaed448e4ec0c67f34d2f7a55e15f962404c,True,927f5ed2cc2bb0007f1467c26a81a8cf36f5ec920052a6540e573676761cf6e0,890,250,493,1.990873,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-W01,world-change release,APPLY,cope,1,ok,,True,False,True,e9bf08831f6ea09407081c4290832abc9306e81635864ca291ab0089c9918d55,a9eb7bd215046e910ca27d03fe58cc42b4e8ff39539a512d0824bef1b0d1ccbc,5d0789c2da24ce1a544bf8e37f18549eba9755c2ff6aa4e9e931de4b0d3101e4,True,99ca6565ca5c72f01f00865ff72c904f6fec682861b4d8503601b338bfddc598,821,262,527,1.710284,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-W01,world-change release,APPLY,compact_tx,2,ok,,True,False,True,e9bf08831f6ea09407081c4290832abc9306e81635864ca291ab0089c9918d55,a9eb7bd215046e910ca27d03fe58cc42b4e8ff39539a512d0824bef1b0d1ccbc,5d0789c2da24ce1a544bf8e37f18549eba9755c2ff6aa4e9e931de4b0d3101e4,True,5ab360fbea163ac90a3a05de10d32ab140a5f03256a915b8c3f26bf5469af066,851,177,669,1.570433,0,ValueError:compact path invalid: /restorations/+,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-W01,world-change release,APPLY,fsr_pc,3,ok,,True,False,True,e9bf08831f6ea09407081c4290832abc9306e81635864ca291ab0089c9918d55,a9eb7bd215046e910ca27d03fe58cc42b4e8ff39539a512d0824bef1b0d1ccbc,5d0789c2da24ce1a544bf8e37f18549eba9755c2ff6aa4e9e931de4b0d3101e4,True,294f4d6806d5afd645d4d54a50afbdcd61a1ade72a19cab19a30b89307605256,771,417,850,2.876898,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-W02,world-change release,APPLY,fsr_pc,1,ok,,True,False,False,d15e9a3a4dc86d86cb77a18e7d8889e9865e950d6b33226cb61da9447f2470ab,c1449482ace95fcec9376d2eae52907a57b6ab6369363ad5e3b4ceb8bae16df0,6a679dd7f6d15f8dc5e463be7c00774c834009c1118ccd5f1224383696def947,True,68df4065d22af873f50d6819c25de67ee8ff6e788ca742e1f296d38432539650,885,599,1277,3.945314,0,ValueError:oracle disposition mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-W02,world-change release,APPLY,compact_tx,2,ok,,True,False,False,d15e9a3a4dc86d86cb77a18e7d8889e9865e950d6b33226cb61da9447f2470ab,c1449482ace95fcec9376d2eae52907a57b6ab6369363ad5e3b4ceb8bae16df0,6a679dd7f6d15f8dc5e463be7c00774c834009c1118ccd5f1224383696def947,True,3b160bb38c8333f74e4370d37486c445f4fb2782bb08c2bb36f48f89dc457647,965,50,150,1.073648,0,ValueError:oracle disposition mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-W02,world-change release,APPLY,cope,3,ok,,True,False,True,d15e9a3a4dc86d86cb77a18e7d8889e9865e950d6b33226cb61da9447f2470ab,c1449482ace95fcec9376d2eae52907a57b6ab6369363ad5e3b4ceb8bae16df0,6a679dd7f6d15f8dc5e463be7c00774c834009c1118ccd5f1224383696def947,True,40051830f469058fb45b83952cf4f1e6e7a305f7f0d9d17c5f5b50ed089cbb98,935,291,567,1.816599,0,KeyError:'target_id',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-P01,replacement,APPLY,cope,1,ok,,True,False,True,848437bfb8d61b699cad4407ef3009c4be481426b015eee5df8aad75b6b4f09a,d75f5f8d2f5883ec268e91851112937b7017deb556b301a483928a1526b730db,003b787dcdaf0b44449a3ab786fcadeee53e56075a2d6e8b13abd129dfeac482,True,cda3250d23d27c399460f7ba90273f09f77002a5306ba2bd34f0af080129f095,819,229,438,1.867861,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-P01,replacement,APPLY,fsr_pc,2,ok,,True,False,True,848437bfb8d61b699cad4407ef3009c4be481426b015eee5df8aad75b6b4f09a,d75f5f8d2f5883ec268e91851112937b7017deb556b301a483928a1526b730db,003b787dcdaf0b44449a3ab786fcadeee53e56075a2d6e8b13abd129dfeac482,True,a313d98f8757ea5af362d4a220169b48b43edc6ce1b642e1802f5dfbeaf7e458,769,409,845,3.849034,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-P01,replacement,APPLY,compact_tx,3,ok,,True,False,True,848437bfb8d61b699cad4407ef3009c4be481426b015eee5df8aad75b6b4f09a,d75f5f8d2f5883ec268e91851112937b7017deb556b301a483928a1526b730db,003b787dcdaf0b44449a3ab786fcadeee53e56075a2d6e8b13abd129dfeac482,True,3a881c7169b2b194f4499e74cb2c3ca020097058470f60b9c3c2e9d0e85f2290,849,155,571,1.451497,0,ValueError:compact path invalid: /commitments/+,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-P02,replacement,APPLY,fsr_pc,1,ok,,True,False,True,9b6158aa143af48929385cd94310c00cd046d5357432151979a1b76f3cf7d86a,6a1c536540eab54eec57c6333a722f496a6180ea5f0ed63c53262629f832bcf0,087a89e418b8da1d37a9e83d95988bcd4177b558ee783dbf28450e869d267dc2,True,66abcfb92fbd36eb92e5438b666f13669f32f39c72f3bc1059033b66893fa4d3,832,528,1107,3.471559,0,ValueError:candidate differs from canonical post-state,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-P02,replacement,APPLY,cope,2,ok,,True,False,True,9b6158aa143af48929385cd94310c00cd046d5357432151979a1b76f3cf7d86a,6a1c536540eab54eec57c6333a722f496a6180ea5f0ed63c53262629f832bcf0,087a89e418b8da1d37a9e83d95988bcd4177b558ee783dbf28450e869d267dc2,True,839fa6c388784d931aafe9d0c6cce75f51b67c51c515932bc748cc10a8bb7ee1,882,200,389,1.429708,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-P02,replacement,APPLY,compact_tx,3,ok,,True,False,True,9b6158aa143af48929385cd94310c00cd046d5357432151979a1b76f3cf7d86a,6a1c536540eab54eec57c6333a722f496a6180ea5f0ed63c53262629f832bcf0,087a89e418b8da1d37a9e83d95988bcd4177b558ee783dbf28450e869d267dc2,True,590f692626ad7a3f05e6fe5167c7b322deea1e67730ea7b04ad716c937811e54,912,157,575,1.918239,0,ValueError:record field write op mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-S01,stale version,REJECT,fsr_pc,1,ok,,True,False,False,f7a7b6c15b516c97c5e3d9a74ed20e5456f18e06d4dfbaa4eab9627dc646dfe1,7f4dfd3f728847f2589032f207790757acf211539ef5d5748b66dde1775eaaed,a05dcc365aae8d4cd689fa41eedbeb8944cdf06c8abb7efb42c998170d90b2be,True,e93a68fd954e908ed25ebf3db722337d48ae768ec6a5aaf6554961d8922685d3,666,238,489,1.838297,0,ValueError:oracle reason_code mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-S01,stale version,REJECT,cope,2,ok,,True,False,False,f7a7b6c15b516c97c5e3d9a74ed20e5456f18e06d4dfbaa4eab9627dc646dfe1,7f4dfd3f728847f2589032f207790757acf211539ef5d5748b66dde1775eaaed,a05dcc365aae8d4cd689fa41eedbeb8944cdf06c8abb7efb42c998170d90b2be,True,85c5758dc8e23e7e87e977ed5dc58f590396e5357413256e0ad024d94d82d223,716,69,143,0.942852,0,ValueError:oracle reason_code mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-S01,stale version,REJECT,compact_tx,3,ok,,True,False,False,f7a7b6c15b516c97c5e3d9a74ed20e5456f18e06d4dfbaa4eab9627dc646dfe1,7f4dfd3f728847f2589032f207790757acf211539ef5d5748b66dde1775eaaed,a05dcc365aae8d4cd689fa41eedbeb8944cdf06c8abb7efb42c998170d90b2be,True,93b1cc5d85dc3dcddc9be839d0766989e14bc6ee46ade1922b8c0ff6f945b00a,746,44,139,1.866977,0,ValueError:oracle reason_code mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-S02,stale version,REJECT,fsr_pc,1,ok,,True,False,False,54573b7aa9410d05656de095885e62501a44f81c49d93a923cb2978f862e6aa1,0a42724a3473bfbf23984cc406fac7b3be2234b6a796ea9f75cd6792cbccd55f,84e8703713ecc23637a88fce8053abbeeccbe92bae481575fee79970328c4079,True,5e9f9187c4cbec6a78fe94ac71301d39f9e7e56713d6272d4c2a59eeaa8fec30,676,236,484,1.711310,0,ValueError:event binding mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-S02,stale version,REJECT,compact_tx,2,ok,,True,False,False,54573b7aa9410d05656de095885e62501a44f81c49d93a923cb2978f862e6aa1,0a42724a3473bfbf23984cc406fac7b3be2234b6a796ea9f75cd6792cbccd55f,84e8703713ecc23637a88fce8053abbeeccbe92bae481575fee79970328c4079,True,d166e5cd17b5ca73db5089ddf500c7644813cf04854964018ca3b7239fef924c,756,44,139,0.815729,0,ValueError:event binding mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-S02,stale version,REJECT,cope,3,ok,,True,False,False,54573b7aa9410d05656de095885e62501a44f81c49d93a923cb2978f862e6aa1,0a42724a3473bfbf23984cc406fac7b3be2234b6a796ea9f75cd6792cbccd55f,84e8703713ecc23637a88fce8053abbeeccbe92bae481575fee79970328c4079,True,8eb70cae89d5ad41a3fff3dc126f51d8f6587000ad0a47b9eb08af6014cbf739,726,69,143,0.903920,0,ValueError:event binding mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-I01,idempotence,NO_OP,cope,1,ok,,True,True,False,c7956bdd1deeab7d70fc522aa568263b2c84de6f8e647a6c0f59733c47e33b71,d91af24ef45de03f7ae5be4d4f76bd1e1b064dc56ba8b8a6598569341adba819,575d1f083f07e95880404e593a327389c9f388e4cc39e43c58febe13ef964265,True,9645c92741f196926c7012d84596e3bcfc52c0581d6efc8ea55f68c14337777a,812,70,146,0.981895,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-I01,idempotence,NO_OP,fsr_pc,2,ok,,True,True,False,c7956bdd1deeab7d70fc522aa568263b2c84de6f8e647a6c0f59733c47e33b71,d91af24ef45de03f7ae5be4d4f76bd1e1b064dc56ba8b8a6598569341adba819,575d1f083f07e95880404e593a327389c9f388e4cc39e43c58febe13ef964265,True,22ccc3ba5505756fac009d5b3387ab6189272e5451bf7a653d1d14a57ef93077,762,341,613,2.554514,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-I01,idempotence,NO_OP,compact_tx,3,ok,,True,True,False,c7956bdd1deeab7d70fc522aa568263b2c84de6f8e647a6c0f59733c47e33b71,d91af24ef45de03f7ae5be4d4f76bd1e1b064dc56ba8b8a6598569341adba819,575d1f083f07e95880404e593a327389c9f388e4cc39e43c58febe13ef964265,True,885c37b2fd33c508c2a2e3bbaa5357f77c00c220e671f30cca1a2e5a6a8b6e64,842,45,142,0.769328,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-I02,idempotence,REJECT,cope,1,ok,,True,False,False,2d8781d40ce01abf693389117a318c143305316dfdcb2e0ef960d7f5042c2282,e9d9b6fd110422ad880c2bc54973829354a20bc8c76de6283330d0e8d8f5ceab,64e76fd20bd7035377e6acbd8a3514d248e5ceba46f78a0764c36f9456198018,True,a7764800656af4bd1f6bc546a370895c0512dca3e20397a874fc37f27dced7f0,796,70,147,0.879148,0,ValueError:oracle reason_code mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-I02,idempotence,REJECT,compact_tx,2,ok,,True,False,False,2d8781d40ce01abf693389117a318c143305316dfdcb2e0ef960d7f5042c2282,e9d9b6fd110422ad880c2bc54973829354a20bc8c76de6283330d0e8d8f5ceab,64e76fd20bd7035377e6acbd8a3514d248e5ceba46f78a0764c36f9456198018,True,794847905464a00535f203a18125bcfdbd1790e197516498a1635bffdae9f3fb,826,45,143,0.746365,0,ValueError:oracle reason_code mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-I02,idempotence,REJECT,fsr_pc,3,ok,,True,False,False,2d8781d40ce01abf693389117a318c143305316dfdcb2e0ef960d7f5042c2282,e9d9b6fd110422ad880c2bc54973829354a20bc8c76de6283330d0e8d8f5ceab,64e76fd20bd7035377e6acbd8a3514d248e5ceba46f78a0764c36f9456198018,True,a14d02c6f2aee603a51c24dd722a06c393daf48fe2c89af596275a9f80f6a739,746,332,597,2.037896,0,ValueError:oracle reason_code mismatch,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-U01,unauthorized mutation,REJECT,fsr_pc,1,ok,,True,True,False,68620696211512f48b0e09bf73f6eeaf0e8b959be2156f38c0c67e9945f4daa5,bd75c59670e2b65e366fc279d42e4cb891c257b62c01655aa6fb66b7acad278d,36e0188591cc96177716463e18ee0f9c232d8b55c69c9e1e76982d94683acaaa,True,76ac436f8f6533c6ae6a633b87dd6734e8a034998df58392edc9923818d34083,664,241,498,1.712744,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-U01,unauthorized mutation,REJECT,cope,2,ok,,True,True,False,68620696211512f48b0e09bf73f6eeaf0e8b959be2156f38c0c67e9945f4daa5,bd75c59670e2b65e366fc279d42e4cb891c257b62c01655aa6fb66b7acad278d,36e0188591cc96177716463e18ee0f9c232d8b55c69c9e1e76982d94683acaaa,True,68cf48c22339f2d4e4a0488f3a0647f79a8d2a8999539210758aa67335915ec2,714,73,154,1.061241,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-U01,unauthorized mutation,REJECT,compact_tx,3,ok,,True,True,False,68620696211512f48b0e09bf73f6eeaf0e8b959be2156f38c0c67e9945f4daa5,bd75c59670e2b65e366fc279d42e4cb891c257b62c01655aa6fb66b7acad278d,36e0188591cc96177716463e18ee0f9c232d8b55c69c9e1e76982d94683acaaa,True,e731461d1546b3aca071f242372c35ad7a37105abfce7d84c420def925c06b21,744,48,150,0.795432,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-U02,unauthorized mutation,REJECT,compact_tx,1,ok,,True,True,False,6f0302300e9eb4b741c36922a141f5d7263f625e640b0f90f4aba2480e705a5c,a1953a2a51cd6619383344d86d33338d4899abb31d411d21797c1dee296e91c9,be78877dfe9bb71b59e170dc285ce1536bcf7f2a5cc17f6c5e07c2b7100e40fe,True,5f20654bc4986f48c5f44df8d6736ed1379f39851cca3064c578de5acb29bfbc,801,49,149,0.826766,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-U02,unauthorized mutation,REJECT,fsr_pc,2,ok,,True,True,False,6f0302300e9eb4b741c36922a141f5d7263f625e640b0f90f4aba2480e705a5c,a1953a2a51cd6619383344d86d33338d4899abb31d411d21797c1dee296e91c9,be78877dfe9bb71b59e170dc285ce1536bcf7f2a5cc17f6c5e07c2b7100e40fe,True,c44f8cb955d7647b7f4824ac1f6fbc812ff12cc14764b4b669d227491db317a1,721,333,693,2.293331,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-U02,unauthorized mutation,REJECT,cope,3,ok,,True,True,False,6f0302300e9eb4b741c36922a141f5d7263f625e640b0f90f4aba2480e705a5c,a1953a2a51cd6619383344d86d33338d4899abb31d411d21797c1dee296e91c9,be78877dfe9bb71b59e170dc285ce1536bcf7f2a5cc17f6c5e07c2b7100e40fe,True,bdc073d6ff9b3d7334e864aeada61cd1f771f30154e2e909f26aa73350183b42,771,74,153,0.859378,0,,qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
X16-CC01,continuity conflict,APPLY,cope,1,ok,,True,False,True,ec3320985e3525308fb4743520702c0835483b5ab3faea26e6edf4b4f3e90fe4,45439f16152a9bcd4c4b63f8ebdd0237d480d366202f0fd9ab688d0d0c5d2518,3c41b23242f9b96e46208aba93f3f71bb5c9097c084b56f74c7c9022d3c07548,True,983ee3360f995e7777d8db62f3e1a52e69c3c35f9dd8d6690c2811665837f224,771,223,430,1.724334,0,KeyError:'op',qwen/qwen3.5-flash-02-23,none,0.0,20260803,8192,90.0,0,0,False,False
