case_id,family,rule_clause_count,arm_cells,fairness_pass,normalized_request_sha256,call_order
SCE-H11,temporary_override_with_restore,4,4,True,ad3234bb981e26e55051d33dbc7d9333f723940d4761320dca6eed7ea1c35468,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H12,override_release_resume,4,4,True,2eb9978aab4ecf9d7f3b3a38751ec6db4a7f4858b59aac6d67195df528097a86,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H13,override_release_complete,4,4,True,3108f44a5b71c98e3c23d8fbdf7290cbd96707441f3c476a55711aa438c760fd,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H14,world_fact_blocks_pending,2,4,True,a94363fc98e875c67961cd2a3084f1fd3d5df549662b1796d6886e6aaff64b20,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H15,world_fact_halts_running,3,4,True,ab3ac78bfb4fd4d53afdf053cd29158bd365619a8b3b109e625d646bd2d51634,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H16,evidence_invalidates_progress,3,4,True,9a7f565bc19cbc008466e813b82d69e933dae111885c30a5a7deb5ab683f6a52,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H17,evidence_revalidates_progress,3,4,True,ff416c0db796d5811fc43dd7a0132fcbfb3f71ef5d674ef29f6d07889e02d03b,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H18,nonreversible_safe_stop,3,4,True,ab23be8b63d351de7640e75fbc546a055292e00da3b470134b6b73b623bd326f,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H19,reversible_immediate_stop,2,4,True,1b7234749e02dc83a03b8aa2dd47784f6dff16bc33a84b3b08ba9893d7224f59,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H20,progress_checkpoint_insert,2,4,True,4b2915056b8a118aa842d106d5d7893c4546c0b26519929e796087d589b81e18,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H21,progress_checkpoint_advance,2,4,True,f865e381791c87b2521e52963d32141d737f91d5c4a1566b8cf6ce1881f314c7,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H22,progress_reset_retry,3,4,True,8e0a43c8e7c8d29e93e6348775a5f8736cf0a639349a3978370ef79b79961f27,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H23,restoration_candidate_add,1,4,True,4dca2305ccc813019629231f0798eebb80df73695670d1e312b0195025bc0506,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H24,restoration_candidate_replace,2,4,True,5586ceff1e0ef45dfb4a05a7bbc51fcba743349cacb58105ff04410cc8a9e019,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H25,restoration_candidate_drop,2,4,True,583aa4da0387e57917cb3b03d714c3633c7253e937c09d50a57ed066e4155112,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H26,subgoal_insert_commitment,2,4,True,9529e3a78d845a08adf2edd73302630e293998a8b19c5ebee1ed4464f295330b,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H27,subgoal_insert_action,3,4,True,fcbe786c9f39f9fddd23ce5ecdc63580512abaf24dbe9ea3ba6f04f2fd1af3fb,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H28,subgoal_insert_full_bundle,4,4,True,51dde57c31c98e82a8df3ae4f5c967e036c655747c660d9176eac9d97ee79f0a,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H29,deadline_expire_pending,2,4,True,26ba212caff23680c916ed49532e8a8142f51da1f3477cb793eb52c32d497b96,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H30,deadline_grace_extension,2,4,True,83aeea3b4694675cbef3fdb8ab8af9a0b4d4b4e523a41021742f98e03025d1eb,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H31,concurrent_commutative_fact,1,4,True,6140d9b4e4000882a74edce730430ae4393f4e27e5776fb2f815c63b218a558d,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H32,concurrent_conflict_hold,3,4,True,28f17ddd5f0cda93fc982e88836c51db18a822890a9d39dc38777c8d5002ab13,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-H33,owner_scoped_status_change,2,4,True,8cfd5422fe45d458396575587bea58a25fbb86d2934de8eb4fbff62dc55e3385,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-H34,owner_scoped_field_change,2,4,True,a215911c694a55c61e89a6b36df805814ce43ec0330240a8498ea1d8628a123f,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-H35,compound_resume_and_checkpoint,4,4,True,5857ca35db6b0ba4b3e78f3572a075a9afcc748ee069b68c77f104e7a8a4c472,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-H36,compound_replace_and_restore,4,4,True,8dbb67f166d7b2d3a53814d44ccd74aceec972b797da2da2ccc97dd8538e2215,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
