case_id,family,state_size,rule_clause_count,arm_cells,fairness_pass,normalized_request_sha256,call_order
SCE-S04-12,scale_04_override_release_resume,4,4,4,True,cf8328073f566bc57873047395a2b9527ca3d5e1a14a85496117a446efa8f73c,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-13,scale_04_override_release_complete,4,4,4,True,d8ae13b7c09a912d216ab7e79e9ec1c7214506fb6536089445d42895a5ad905c,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-14,scale_04_world_fact_blocks_pending,4,2,4,True,a400c03944a7ce16cc334292286cbaf6403c47903d9bf4c705df8b984e0f7b42,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-15,scale_04_world_fact_halts_running,4,3,4,True,b1a46699a12f63fcd2e98332973baf66c46eee64e9dd393fa6d4e68d5cf635f1,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-16,scale_04_evidence_invalidates_progress,4,3,4,True,c25f2e3ddade4d7533300c83c8045a173b29cb173dd280377aad372c9b25fbab,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-17,scale_04_evidence_revalidates_progress,4,3,4,True,7bdec81f0dc58625d364a9470de1b8d1835d28ee0019237dda012cbb88a780ff,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-18,scale_04_nonreversible_safe_stop,4,3,4,True,3d5eef631f42b47c890ee2a935fe39f0a28fe371fbc13ad1b1ecd2c3778902ba,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-19,scale_04_reversible_immediate_stop,4,2,4,True,1cb56a4d49e2933e02c931499890f566c17e76c1b7ba76b1c744c3c7ca70a342,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-20,scale_04_progress_checkpoint_insert,4,2,4,True,faa57b23ba654ef6307ef2912cf401b8826f2d8e1b677870abe67eac7f1a385e,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-21,scale_04_progress_checkpoint_advance,4,2,4,True,a524286cc9684784b3a45831c6eec341d9ca70d6fcb83f5e7199ece9005aa6b5,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-22,scale_04_progress_reset_retry,4,3,4,True,acfc9ed78bd5f1f8208ee625ecd8f24d1561909f7841886fe7aa532641bee28d,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-23,scale_04_restoration_candidate_add,4,1,4,True,2e145b5fc50c1e60bdc574c23bd344cfa40d78ff8b44db42980343db9d148abf,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-24,scale_04_restoration_candidate_replace,4,2,4,True,0b7e92cde28bdd9a14a72d6d0a0aa4de9418948e49e25a914620869a29b69296,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-25,scale_04_restoration_candidate_drop,4,2,4,True,1712c117df466bd608ff99114315461964202f3b364f9d008c75ec184207a04f,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-26,scale_04_subgoal_insert_commitment,4,2,4,True,de8a11e084bc1479c7fbbacfbec5e0c89b916500242fec597abf9884df0f6671,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-27,scale_04_subgoal_insert_action,4,3,4,True,fbcb8861ef7dce5d62e5655d7f47584d2fc4eb203ab2c54ccd9fa6d85ae6eb3c,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-28,scale_04_subgoal_insert_full_bundle,4,4,4,True,c8065852087124bf90883ddb6249aceeeb884ab1878104499e44e4a17c90c9a9,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-29,scale_04_deadline_expire_pending,4,2,4,True,b2f305199190ed19cc93194faa9876a47a9942194a62629ed2dcefed680b5f13,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-30,scale_04_deadline_grace_extension,4,2,4,True,437711ea252d5f9c44238c4c3eef7e21de39677b0092d9fe52fdac5f4a6a51c2,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-31,scale_04_concurrent_commutative_fact,4,1,4,True,081f420b1876f04946b092b604081b74cea95244e20b520c353685dfd30dcdb1,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-32,scale_04_concurrent_conflict_hold,4,3,4,True,8cc9f828d6c2613f91ef0af061de9abe8cd41cfab66045eb03ab8217e3065d9e,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S04-33,scale_04_owner_scoped_status_change,4,2,4,True,22a28999e9adbb5b67c68d1b6db233aadd475e8caa8a0722ca0a67f4ccc824b1,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S04-34,scale_04_owner_scoped_field_change,4,2,4,True,17fa0aa11ec0c59270506b93b92d4918831a2de415aafb822d59b9b9b03cfbe1,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S04-35,scale_04_compound_resume_and_checkpoint,4,4,4,True,3e08b8406cf5dc1475c0bcd7097567b9647fa8a3202a9d3972590b924555ac3a,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S04-36,scale_04_compound_replace_and_restore,4,4,4,True,b50382b8a97ebc3578ce7748e24c8553ffae016f1c4aa3e3a5b49d8fff323134,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-01,scale_16_single_root_expiry,16,1,4,True,6e500c1d7ef356cf1a32519bcb386e95209f2ff17bb4b9902ec43bc3dda8fa4f,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-02,scale_16_expiry_with_running_action,16,2,4,True,6b393fa3f05eaea0e1fac373f8bcca1677f84a20c3c97a22cf03bd5ea7c6403c,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-03,scale_16_conjunctive_dependency_block,16,3,4,True,6839a1d373dd42a333bccb795b61c861ee46872b126c1e44322b982410628650,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-04,scale_16_disjunctive_dependency_survival,16,2,4,True,23428447a5d6ef22a67ae728e52bb9b18c1b38b66e1444a25f5fb32d42c65361,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-05,scale_16_priority_raise_without_preemption,16,1,4,True,3378951ca52703b2b25e57935d8afe12c9cebca953bff5b6b124b4b39949352f,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-06,scale_16_priority_raise_with_preemption,16,3,4,True,c41a7fdef5f32eba818d8494363ea1ef7feb83740643bd3a450be928957c4289,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-07,scale_16_replacement_insert_only,16,2,4,True,aa77f2d681d9a5490a0ce29d39091de6e54ae572dbd135ea82e02894b4d0fd8c,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-08,scale_16_replacement_retarget_action,16,3,4,True,114230d0a93886e065e99c73c01bb8125ffde06d4360067d764d844acb00b89c,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-09,scale_16_replacement_retarget_progress,16,3,4,True,1f163098d55cfd40e1bc8bfb38aff71a641b528d3673dae654e554a6e0719fa3,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-10,scale_16_temporary_override_insert,16,3,4,True,b786156cc27b7d11bd8c709543037ec0c9a71476d25f51ac2b2ff261c4462f8e,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-11,scale_16_temporary_override_with_restore,16,4,4,True,027cb1688bfa8ab8175cbe2ddbc6f85b3ab9c7e164191af93e414ccb530a2fc8,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-12,scale_16_override_release_resume,16,4,4,True,8860f1460d8f60982d01d01267e06480f5f25b037908795297be97f98cdb450d,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-13,scale_16_override_release_complete,16,4,4,True,5b385cec8e9fb8378596bdd1c7183ffc8c964fe0abc6dc8c10b9b7a9d8c63c55,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-14,scale_16_world_fact_blocks_pending,16,2,4,True,6271d435f64e1f6f7c4f1773a83d928d3cfd33b6046cec4921e5f77eba8efc59,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-15,scale_16_world_fact_halts_running,16,3,4,True,39116002640dfad0ebe4ec4d9ad26bb1ab8bb5c48c84763b137490949e9eff3f,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-16,scale_16_evidence_invalidates_progress,16,3,4,True,ae711d8244063b4e5483e4850c20e4e14b7f0c1fcd89b783b97c0af521ad5044,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-17,scale_16_evidence_revalidates_progress,16,3,4,True,f43cf59cc594debf5c885c4f7328b5a9b6e94ef4601efb52caddf86d9195a8c4,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-18,scale_16_nonreversible_safe_stop,16,3,4,True,dd60d0143fe5244d5d19737f9871586ef9ae2285c605b4e7b2b5fe49fd550519,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-19,scale_16_reversible_immediate_stop,16,2,4,True,03f54694ffd08088754ac8e5579a4935ac1ca0c3b2bb8538cf968f5a83d4f7cb,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-20,scale_16_progress_checkpoint_insert,16,2,4,True,aac8a0102d14d1e4b009d13aa07e8a121bac8f9e440987fe5ba1323b928f7297,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-21,scale_16_progress_checkpoint_advance,16,2,4,True,6bf9335d11918f39856cbbd6386111d19430073088e65f2b3818827173e259a3,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-22,scale_16_progress_reset_retry,16,3,4,True,04b4ba6d07554aa7775612b89ca116f022ea96fabc3bae984876f0cf3bd0d065,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-23,scale_16_restoration_candidate_add,16,1,4,True,398a71307afd9beeabf94797892f6bcecf2316f73914616af47af2762cbc5bed,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-24,scale_16_restoration_candidate_replace,16,2,4,True,cef76d545cf20caa379d76a44f2a6fc56d025664b843aba5457beba8ee6b3555,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-25,scale_16_restoration_candidate_drop,16,2,4,True,6a5aa4716c38f6b6f27f9de5c2695d217068fa4571ec4e3fe5067cea29dbc3ea,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-26,scale_16_subgoal_insert_commitment,16,2,4,True,36bfbb9f39786e8891acef86b0979c40ac19190b098b0ecf4fa25ddef4b5069e,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-27,scale_16_subgoal_insert_action,16,3,4,True,fd8e0e74d8e7cd10d479b7a6f89ecbcf37637d1210357cb71d4fa1c47746ce8d,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-28,scale_16_subgoal_insert_full_bundle,16,4,4,True,ad6bf9a1d92b3bcd3b09d5338287efaadf681954051c05e348277f3754f12a33,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-29,scale_16_deadline_expire_pending,16,2,4,True,ef45d40ed90fee9b5c671e2b56df3fd856c1b9f1789bfaf09f5b9de2403035d7,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-30,scale_16_deadline_grace_extension,16,2,4,True,fa6c32094f010df452e30d38974b45b61b1b4fd2c1b49257dc1c78129bc44241,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-31,scale_16_concurrent_commutative_fact,16,1,4,True,48c54770efa839de8e7a3f75085912671c0771408226b752c2fe24065bf74957,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-32,scale_16_concurrent_conflict_hold,16,3,4,True,c44d7f3d6dfdcdac89c1d22b78df4a048a5a20db9c7dfeede9240e28c685661d,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S16-33,scale_16_owner_scoped_status_change,16,2,4,True,9fb891ce63823e030a68826cb9de5e0d9e137d8c4fba0a1dbc959169103db009,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S16-34,scale_16_owner_scoped_field_change,16,2,4,True,15eb0c50f2241186c9cda34ca1294b69df988071736d1df8a03c97b6e3dd7677,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S16-35,scale_16_compound_resume_and_checkpoint,16,4,4,True,050b2d28fb0bcaa71a505cf68d94e2528077db75730ea667d1d2e42bbd4c053d,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S16-36,scale_16_compound_replace_and_restore,16,4,4,True,6e2950903fad263942e523a5ef55ed95b089d0bf2d211df79903e1675a323495,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-01,scale_32_single_root_expiry,32,1,4,True,6dc9686bdf69a67bb3eb6e01829bf601bfd5102029f5fd3204ff4084b37a3515,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-02,scale_32_expiry_with_running_action,32,2,4,True,e9562d3a037b2c22c1e9e7c42afdd45efa25dfdf3585103695f77966e549c89c,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-03,scale_32_conjunctive_dependency_block,32,3,4,True,2b85a081e8e70689b052e885ad3b257c8dfd0318b56e920acae45225ae398e92,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-04,scale_32_disjunctive_dependency_survival,32,2,4,True,59b2e66ed1565d1c7889ffe0bb76c31d3e59b0fb2dac6ad21b6b63e19a0e6118,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-05,scale_32_priority_raise_without_preemption,32,1,4,True,1f584aef72df1946fa7e71a7c5598ac63e3db4fdcc6c5b08139cf4191fa4f726,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-06,scale_32_priority_raise_with_preemption,32,3,4,True,4d0cd2f67b664a112861e78197fbdbaa842e107332ff461c47e09f006d7d52cb,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-07,scale_32_replacement_insert_only,32,2,4,True,5ccf56b202983810c8cbe0e1f88c58d7b75f3cb35f49f9278d509bab9ba44d33,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-08,scale_32_replacement_retarget_action,32,3,4,True,1804d9f978933ac32487cb28d5f3bba847108eca38d8fa898e1890047674158f,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-09,scale_32_replacement_retarget_progress,32,3,4,True,2c44718843024bc788be6ca62bfa9a226de4045595ee704a23b5212e7c7de6b7,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-10,scale_32_temporary_override_insert,32,3,4,True,982dff243f560431eacc44bf527c176c3441b351dde0c32485f8743c9f8173bb,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-11,scale_32_temporary_override_with_restore,32,4,4,True,92d5a7538f77494b127dca57556c9c433d940149883a3212701aa1e1783c4ce7,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-12,scale_32_override_release_resume,32,4,4,True,6dc221742f5f368e696fd46564a89ad82adc67b379db47c03348051bbaefe4ca,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-13,scale_32_override_release_complete,32,4,4,True,27110a49e4a6b9b3a0b7bd4b9eb09bd862800f3ff3ba9168fa763b5ccdd0f45c,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-14,scale_32_world_fact_blocks_pending,32,2,4,True,d8651cac130209ab47fbb5199c6daefd37e4d1b6f5be20a92accfb4424e7c427,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-15,scale_32_world_fact_halts_running,32,3,4,True,f41b004d553aab9071a6f8efbc79a88dee730ba501f87fbe29b8f1e968998496,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-16,scale_32_evidence_invalidates_progress,32,3,4,True,030e451d24354598c9a53bd2a41547d08ec1f09cf78c4eb26050d5116a81a570,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-17,scale_32_evidence_revalidates_progress,32,3,4,True,80064a8063b89ae9c8d82dfc2af65c5a4f2c2368e5bbd59236d9e1fb3c037290,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-18,scale_32_nonreversible_safe_stop,32,3,4,True,fa56c7287fe17eb23683ebe86710afcab819d93903abefe9cb99342244e2f57d,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-19,scale_32_reversible_immediate_stop,32,2,4,True,b0533757057e9427b3bd18c6e1e9881fc9f489b5f834bafee8f1a860defab49d,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-20,scale_32_progress_checkpoint_insert,32,2,4,True,93c7265481e8ee9c45e983ff53b2483bc71cf78605ce472d3653149cd9a862a9,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-21,scale_32_progress_checkpoint_advance,32,2,4,True,5920fb1d3122160a2173492c2c4f9eae514c444bd1c3ff9da90493f5d61b3e13,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-22,scale_32_progress_reset_retry,32,3,4,True,9134e0484e07e57cc3e729157f2a98664d95e385a2cc7b25a048025f4233e62b,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-23,scale_32_restoration_candidate_add,32,1,4,True,7f5fc47c64ce8acc643ff357f6d62dfe8ff835fde6100211937ca23c916ccce5,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-24,scale_32_restoration_candidate_replace,32,2,4,True,fec7d76d45873e69398cb48459d3bb926381eaf92bb36acd515339cb7177ff1b,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-25,scale_32_restoration_candidate_drop,32,2,4,True,de64d39d45292b5f2d0e9c5d9c75d63aeb7c7a611a5dbb743d2c4c2af6f828bb,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-26,scale_32_subgoal_insert_commitment,32,2,4,True,1d28eeed60532ec8c7fb9df8c75d79e078844e92935e43db1b7c2405dbc38475,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-27,scale_32_subgoal_insert_action,32,3,4,True,8ee2ab3c6f851b3fe2c92b777f0fe5b3d6df49e148cb56714183b6132085f95c,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-28,scale_32_subgoal_insert_full_bundle,32,4,4,True,9066e3d953900a2f7b0a22add778fd0b12ea0350f1030b724a0618bd3d168b6e,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-29,scale_32_deadline_expire_pending,32,2,4,True,7bdcbcbac9e554b213775a1e7deba9e7e8efa1013d7ca9fe9d9037ed8197e408,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-30,scale_32_deadline_grace_extension,32,2,4,True,fdbbea4fa122299ed660e23e8224d3ec92e2ec1c38d2c6989bf80bbf460e3372,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-31,scale_32_concurrent_commutative_fact,32,1,4,True,c2e21a5d09f1215fc5e556976a5db92140fa3f45d0c7ae59845d5b2bc15c8342,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-32,scale_32_concurrent_conflict_hold,32,3,4,True,2d0c5e26ecc9dff1199e581a185921b0c844694b1d6db11f361c43196b645dbd,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
SCE-S32-33,scale_32_owner_scoped_status_change,32,2,4,True,cd136a8086d0c12e5ff2979562f73df271b9cb2e175c358aa9a22c98540f299e,"[""cope_semantic"",""neutral_typed"",""compact_semantic"",""fsr_semantic""]"
SCE-S32-34,scale_32_owner_scoped_field_change,32,2,4,True,a319f35cb19954714d248dc36b993bfe86602fcbe4eef480f9ee9c847315cf8c,"[""neutral_typed"",""compact_semantic"",""fsr_semantic"",""cope_semantic""]"
SCE-S32-35,scale_32_compound_resume_and_checkpoint,32,4,4,True,83a3404ab51dee5a41ec1d07cf40d1b9ef215121d419427c2e7fa488763756c7,"[""compact_semantic"",""fsr_semantic"",""cope_semantic"",""neutral_typed""]"
SCE-S32-36,scale_32_compound_replace_and_restore,32,4,4,True,a646887329f0d6bcaa6e99821d2b7efc3127654e0e9521ff89b55c37cc799cd9,"[""fsr_semantic"",""cope_semantic"",""neutral_typed"",""compact_semantic""]"
