schema_version,sequence_id,task_suite,task_id,state_id,prefix_orientation,sequence_type,done_object,initial_pending_object,replacement_c,replacement_d,arm_order,provider_calls_per_arm,model,temperature,seed,max_completion_tokens,retry_budget,repair_budget,controller_config_sha256
cope-sequential-formal-manifest-v1,formal_t00_s16_forward_replace_then_replace,libero_10,0,16,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260817,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s17_forward_replace_then_cancel,libero_10,0,17,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260818,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s17_forward_replace_then_replace,libero_10,0,17,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260819,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s18_forward_replace_then_cancel,libero_10,0,18,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260820,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s18_forward_replace_then_replace,libero_10,0,18,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260821,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s19_forward_replace_then_cancel,libero_10,0,19,forward,replace_then_cancel,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260822,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s19_forward_replace_then_replace,libero_10,0,19,forward,replace_then_replace,alphabet_soup_1,tomato_sauce_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260823,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s20_reverse_replace_then_cancel,libero_10,0,20,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260824,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s20_reverse_replace_then_replace,libero_10,0,20,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260825,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s21_reverse_replace_then_cancel,libero_10,0,21,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260826,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s21_reverse_replace_then_replace,libero_10,0,21,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260827,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s22_reverse_replace_then_cancel,libero_10,0,22,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260828,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s22_reverse_replace_then_replace,libero_10,0,22,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260829,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s23_reverse_replace_then_cancel,libero_10,0,23,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260830,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s23_reverse_replace_then_replace,libero_10,0,23,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260831,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s24_reverse_replace_then_cancel,libero_10,0,24,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260832,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s24_reverse_replace_then_replace,libero_10,0,24,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260833,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s25_reverse_replace_then_cancel,libero_10,0,25,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260834,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s25_reverse_replace_then_replace,libero_10,0,25,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260835,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s26_reverse_replace_then_cancel,libero_10,0,26,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260836,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s26_reverse_replace_then_replace,libero_10,0,26,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260837,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s27_reverse_replace_then_cancel,libero_10,0,27,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260838,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s27_reverse_replace_then_replace,libero_10,0,27,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260839,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s28_reverse_replace_then_cancel,libero_10,0,28,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,cope;neutral_patch;fsr_pc;full_replan,2,qwen/qwen3.5-flash-02-23,0.0,20260840,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s28_reverse_replace_then_replace,libero_10,0,28,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,neutral_patch;fsr_pc;full_replan;cope,2,qwen/qwen3.5-flash-02-23,0.0,20260841,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s29_reverse_replace_then_cancel,libero_10,0,29,reverse,replace_then_cancel,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,,fsr_pc;full_replan;cope;neutral_patch,2,qwen/qwen3.5-flash-02-23,0.0,20260842,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
cope-sequential-formal-manifest-v1,formal_t00_s29_reverse_replace_then_replace,libero_10,0,29,reverse,replace_then_replace,tomato_sauce_1,alphabet_soup_1,cream_cheese_1,butter_1,full_replan;cope;neutral_patch;fsr_pc,2,qwen/qwen3.5-flash-02-23,0.0,20260843,4096,0,0,56171aef20a9f60e335259ff10abe7c211f6594a98b52b09864effcc7b1d988a
