suite,task_id,state_id,mode,prompt,warmup_steps,first_object,first_skill_success,first_failure_reason,first_lift_m,event_reached,patch_applied,patch_operation,patch_accepted,patch_before_hash,patch_after_hash,oracle_operation_selection,provider_called,second_object,second_skill_success,second_failure_reason,second_lift_m,done_object_in_region,pending_object_in_region,replacement_object_in_region,valid_progress_retained,stale_pending_executed,updated_goal_success,original_goal_success,libero_task_success,environment_steps,source_csv
libero_10,1,2,original,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197663,False,False,,,,,,,butter_1,True,,0.198101,True,True,False,True,True,False,True,True,311,research/oracle_skill_canary/replacement_gate/state02_original.csv
libero_10,1,2,reset_counterfactual,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197663,False,False,,,,,,,alphabet_soup_1,True,,0.197968,True,False,True,True,False,True,False,False,376,research/oracle_skill_canary/replacement_gate/state02_reset_counterfactual.csv
libero_10,1,3,checkpoint_no_edit,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.198072,True,False,,,,,,,butter_1,True,,0.197923,True,True,False,True,True,False,True,True,324,research/oracle_skill_canary/replacement_gate/state03_checkpoint_no_edit.csv
libero_10,1,3,checkpoint_oracle_cope_patch,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.198072,True,True,Override,True,a71dc1db14f9edfeb1b7cad1256a803bc4a1bfc28c414e283611ee53e28c54af,3449d01c7f0e364900a5c4a5c9fd1dcc418e5a283629dba8248b601ef4baf662,True,False,alphabet_soup_1,True,,0.197869,True,False,True,True,False,True,False,False,396,research/oracle_skill_canary/replacement_gate/state03_checkpoint_oracle_cope_patch.csv
libero_10,1,3,original,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.198072,False,False,,,,,,,butter_1,True,,0.197923,True,True,False,True,True,False,True,True,324,research/oracle_skill_canary/replacement_gate/state03_original.csv
libero_10,1,3,reset_counterfactual,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.198072,False,False,,,,,,,alphabet_soup_1,True,,0.197869,True,False,True,True,False,True,False,False,396,research/oracle_skill_canary/replacement_gate/state03_reset_counterfactual.csv
libero_10,1,4,checkpoint_no_edit,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197877,True,False,,,,,,,butter_1,True,,0.197988,True,True,False,True,True,False,True,True,329,research/oracle_skill_canary/replacement_gate/state04_checkpoint_no_edit.csv
libero_10,1,4,checkpoint_oracle_cope_patch,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197877,True,True,Override,True,e51a5dcfe55152ebe5e7f1c542f38da891288741fdf6cb38249bd15bd93acf59,578b101472c38dbfdbe3ebe8d1f6c35acbd36838503043b652c7578398587fad,True,False,alphabet_soup_1,True,,0.197953,True,False,True,True,False,True,False,False,394,research/oracle_skill_canary/replacement_gate/state04_checkpoint_oracle_cope_patch.csv
libero_10,1,4,original,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197877,False,False,,,,,,,butter_1,True,,0.197988,True,True,False,True,True,False,True,True,329,research/oracle_skill_canary/replacement_gate/state04_original.csv
libero_10,1,4,reset_counterfactual,put both the cream cheese box and the butter in the basket,10,cream_cheese_1,True,,0.197877,False,False,,,,,,,alphabet_soup_1,True,,0.197953,True,False,True,True,False,True,False,False,394,research/oracle_skill_canary/replacement_gate/state04_reset_counterfactual.csv
