root_cause_unit_id,task_id,task_name,category,root_cause,derived_gap_rows_before,status_after,automatic_fixability,required_evidence,blocking_gate,cascade_classes,event_families,artifact_unit_ids,global_prerequisite_ids
T00:soft_preference_templates,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,soft_preference_templates,Persistent preference templates absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Task-valid public preference templates with persistence scope and separately sealed scoring semantics,,collection_unresolved_marker;empty_required_semantic_field,,T00:soft_preference_templates,G-MEASUREMENT;G-RUNTIME
T00:structural_and_milestones,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,structural_and_milestones,No structural/milestone evidence dossier; BDDL predicates are candidates only,7,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Four structural decisions with evidence_refs; >=2 distinct independently verifiable milestones, >=1 preservable; task5 needs a valid second milestone or documented ineligibility",,collection_unresolved_marker;structural_checks_share_task_dossier,,T00:structural_and_milestones,G-MEASUREMENT
T00:supported_event_families,0,LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,supported_event_families,No task support declaration; validator demands all ten per task,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Actual task-specific supported/unsupported family map; explicit review of all-ten validator conflict; never copy global library as support evidence,,collection_unresolved_marker;support_declaration_and_scope_check,,T00:supported_event_families,G-MEASUREMENT;G-SCOPE
T01:alternative_valid_goals,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,alternative_valid_goals,Alternative valid goals absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Feasible task-valid family/predicate/arguments/source_ref records and verifier grounding; no invented alternatives,,collection_unresolved_marker;empty_required_semantic_field,,T01:alternative_valid_goals,G-MEASUREMENT;G-SCOPE
T01:calibration_records,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,calibration_records,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,6,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",,collection_unresolved_marker;empty_collection_consistency_cascade;primary_absent_grid,,T01:calibration_records,G-POLICY;G-RUNTIME
T01:event_feasibility,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,event_feasibility,Empty event_feasibility collection,11,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Explicit passed true/false, evidence_refs and covered_state_ids0..4 for each applicable task/family under current code; real simulator/safety evidence",,collection_unresolved_marker;primary_absent_family_certificate,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;USER_ADDS_PERSISTENT_PREFERENCE;USER_CANCELS_ACTIVE_GOAL;USER_REISSUES_RETIRED_GOAL;USER_REPLACES_ACTIVE_GOAL,T01:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T01:event_feasibility:TARGET_OBJECT_DISPLACED;T01:event_feasibility:TEMPORARY_NO_GO_APPEARS;T01:event_feasibility:TEMPORARY_NO_GO_CLEARS;T01:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN;T01:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;T01:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE;T01:event_feasibility:USER_CANCELS_ACTIVE_GOAL;T01:event_feasibility:USER_REISSUES_RETIRED_GOAL;T01:event_feasibility:USER_REPLACES_ACTIVE_GOAL,G-MEASUREMENT;G-SCOPE
T01:hard_safety_constraints,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,hard_safety_constraints,Task hard requirements absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Grounded hard requirements and verifier bindings consistent with real task geometry/interventions; no copied defaults,,collection_unresolved_marker;empty_required_semantic_field,,T01:hard_safety_constraints,G-MEASUREMENT;G-RUNTIME
T01:maintenance_invariants,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,maintenance_invariants,Maintenance semantics unresolved; empty list does not prove none apply,1,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Identify unaffected achievements/continuous maintenance requirements or certify empty semantics where allowed; evidence must precede clearing unresolved marker,,collection_unresolved_marker,,T01:maintenance_invariants,G-MEASUREMENT
T01:planner_compiler_metadata,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,planner_compiler_metadata,Task compiler grounding metadata absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Explicit supported predicate/operator/skill/instruction bindings; preserve accepted omissions and corruption; no canonical-truth repair,,collection_unresolved_marker;empty_required_semantic_field,,T01:planner_compiler_metadata,G-MEASUREMENT;G-RUNTIME
T01:replaceable_goal_families,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,replaceable_goal_families,Replaceable family map absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Explicit family IDs already present in initial goals; supported replacement/retirement/reissue semantics,,collection_unresolved_marker;empty_required_semantic_field,,T01:replaceable_goal_families,G-MEASUREMENT;G-SCOPE
T01:safe_event_injections,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,safe_event_injections,Empty safe-event intervention collection,7,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Alias-bound entity, explicit safe pose or region, hashed evidence; held-object rules and unaffected progress checked",,collection_unresolved_marker;primary_absent_intervention_certificate,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,T01:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T01:safe_event_injections:TARGET_OBJECT_DISPLACED;T01:safe_event_injections:TEMPORARY_NO_GO_APPEARS;T01:safe_event_injections:TEMPORARY_NO_GO_CLEARS;T01:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN;T01:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,G-MEASUREMENT;G-SCOPE
T01:semantic_triggers,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,semantic_triggers,Empty semantic_triggers collection,31,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Task-grounded predicate and feasibility guard; earliest/latest steps and spacing>=10; actual monitor/observation provenance,,collection_unresolved_marker;primary_absent_trigger;same_absent_trigger_guard_cascade;same_absent_trigger_window_cascade,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;USER_ADDS_PERSISTENT_PREFERENCE;USER_CANCELS_ACTIVE_GOAL;USER_REISSUES_RETIRED_GOAL;USER_REPLACES_ACTIVE_GOAL,T01:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T01:semantic_triggers:TARGET_OBJECT_DISPLACED;T01:semantic_triggers:TEMPORARY_NO_GO_APPEARS;T01:semantic_triggers:TEMPORARY_NO_GO_CLEARS;T01:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN;T01:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;T01:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE;T01:semantic_triggers:USER_CANCELS_ACTIVE_GOAL;T01:semantic_triggers:USER_REISSUES_RETIRED_GOAL;T01:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,G-MEASUREMENT;G-SCOPE
T01:soft_preference_templates,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,soft_preference_templates,Persistent preference templates absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Task-valid public preference templates with persistence scope and separately sealed scoring semantics,,collection_unresolved_marker;empty_required_semantic_field,,T01:soft_preference_templates,G-MEASUREMENT;G-RUNTIME
T01:structural_and_milestones,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,structural_and_milestones,No structural/milestone evidence dossier; BDDL predicates are candidates only,7,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Four structural decisions with evidence_refs; >=2 distinct independently verifiable milestones, >=1 preservable; task5 needs a valid second milestone or documented ineligibility",,collection_unresolved_marker;structural_checks_share_task_dossier,,T01:structural_and_milestones,G-MEASUREMENT
T01:supported_event_families,1,LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,supported_event_families,No task support declaration; validator demands all ten per task,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Actual task-specific supported/unsupported family map; explicit review of all-ten validator conflict; never copy global library as support evidence,,collection_unresolved_marker;support_declaration_and_scope_check,,T01:supported_event_families,G-MEASUREMENT;G-SCOPE
T02:alternative_valid_goals,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,alternative_valid_goals,Alternative valid goals absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Feasible task-valid family/predicate/arguments/source_ref records and verifier grounding; no invented alternatives,,collection_unresolved_marker;empty_required_semantic_field,,T02:alternative_valid_goals,G-MEASUREMENT;G-SCOPE
T02:calibration_records,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,calibration_records,Zero authentic v2 calibration records; identity-cardinality errors are empty-set cascades,6,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"10 clean learned/nonprivileged outcomes per task: states0..4 x seeds101,131; horizon260; terminal outcome including failures; shared policy/checkpoint/protocol; unique raw trace hashes",,collection_unresolved_marker;empty_collection_consistency_cascade;primary_absent_grid,,T02:calibration_records,G-POLICY;G-RUNTIME
T02:event_feasibility,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,event_feasibility,Empty event_feasibility collection,11,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Explicit passed true/false, evidence_refs and covered_state_ids0..4 for each applicable task/family under current code; real simulator/safety evidence",,collection_unresolved_marker;primary_absent_family_certificate,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;USER_ADDS_PERSISTENT_PREFERENCE;USER_CANCELS_ACTIVE_GOAL;USER_REISSUES_RETIRED_GOAL;USER_REPLACES_ACTIVE_GOAL,T02:event_feasibility:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T02:event_feasibility:TARGET_OBJECT_DISPLACED;T02:event_feasibility:TEMPORARY_NO_GO_APPEARS;T02:event_feasibility:TEMPORARY_NO_GO_CLEARS;T02:event_feasibility:TOOL_OR_TARGET_AVAILABLE_AGAIN;T02:event_feasibility:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;T02:event_feasibility:USER_ADDS_PERSISTENT_PREFERENCE;T02:event_feasibility:USER_CANCELS_ACTIVE_GOAL;T02:event_feasibility:USER_REISSUES_RETIRED_GOAL;T02:event_feasibility:USER_REPLACES_ACTIVE_GOAL,G-MEASUREMENT;G-SCOPE
T02:hard_safety_constraints,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,hard_safety_constraints,Task hard requirements absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Grounded hard requirements and verifier bindings consistent with real task geometry/interventions; no copied defaults,,collection_unresolved_marker;empty_required_semantic_field,,T02:hard_safety_constraints,G-MEASUREMENT;G-RUNTIME
T02:initial_state_digests,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,initial_state_digests,Five-state initial-state hash pack absent,6,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Exact states0..4 and serialization/source/version binding, yielding five SHA256 receipts; authentic source-asset availability was not audited here",,collection_unresolved_marker;distinct_hash_receipt_in_task_pack,,T02:initial_state_digests,G-ASSETS
T02:maintenance_invariants,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,maintenance_invariants,Maintenance semantics unresolved; empty list does not prove none apply,1,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Identify unaffected achievements/continuous maintenance requirements or certify empty semantics where allowed; evidence must precede clearing unresolved marker,,collection_unresolved_marker,,T02:maintenance_invariants,G-MEASUREMENT
T02:planner_compiler_metadata,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,planner_compiler_metadata,Task compiler grounding metadata absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Explicit supported predicate/operator/skill/instruction bindings; preserve accepted omissions and corruption; no canonical-truth repair,,collection_unresolved_marker;empty_required_semantic_field,,T02:planner_compiler_metadata,G-MEASUREMENT;G-RUNTIME
T02:replaceable_goal_families,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,replaceable_goal_families,Replaceable family map absent and unresolved,2,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Explicit family IDs already present in initial goals; supported replacement/retirement/reissue semantics,,collection_unresolved_marker;empty_required_semantic_field,,T02:replaceable_goal_families,G-MEASUREMENT;G-SCOPE
T02:safe_event_injections,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,safe_event_injections,Empty safe-event intervention collection,7,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,"Alias-bound entity, explicit safe pose or region, hashed evidence; held-object rules and unaffected progress checked",,collection_unresolved_marker;primary_absent_intervention_certificate,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,T02:safe_event_injections:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T02:safe_event_injections:TARGET_OBJECT_DISPLACED;T02:safe_event_injections:TEMPORARY_NO_GO_APPEARS;T02:safe_event_injections:TEMPORARY_NO_GO_CLEARS;T02:safe_event_injections:TOOL_OR_TARGET_AVAILABLE_AGAIN;T02:safe_event_injections:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE,G-MEASUREMENT;G-SCOPE
T02:semantic_triggers,2,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,semantic_triggers,Empty semantic_triggers collection,31,CLOSED_BY_AUDITED_UPSTREAM_ARTIFACT,CLOSED_FROM_AUDITED_MEASURED_OR_SOURCE_DERIVED_EVIDENCE,Task-grounded predicate and feasibility guard; earliest/latest steps and spacing>=10; actual monitor/observation provenance,,collection_unresolved_marker;primary_absent_trigger;same_absent_trigger_guard_cascade;same_absent_trigger_window_cascade,GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;TARGET_OBJECT_DISPLACED;TEMPORARY_NO_GO_APPEARS;TEMPORARY_NO_GO_CLEARS;TOOL_OR_TARGET_AVAILABLE_AGAIN;TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;USER_ADDS_PERSISTENT_PREFERENCE;USER_CANCELS_ACTIVE_GOAL;USER_REISSUES_RETIRED_GOAL;USER_REPLACES_ACTIVE_GOAL,T02:semantic_triggers:GOAL_RECEPTACLE_OR_GROUNDING_CHANGED;T02:semantic_triggers:TARGET_OBJECT_DISPLACED;T02:semantic_triggers:TEMPORARY_NO_GO_APPEARS;T02:semantic_triggers:TEMPORARY_NO_GO_CLEARS;T02:semantic_triggers:TOOL_OR_TARGET_AVAILABLE_AGAIN;T02:semantic_triggers:TOOL_OR_TARGET_TEMPORARILY_UNAVAILABLE;T02:semantic_triggers:USER_ADDS_PERSISTENT_PREFERENCE;T02:semantic_triggers:USER_CANCELS_ACTIVE_GOAL;T02:semantic_triggers:USER_REISSUES_RETIRED_GOAL;T02:semantic_triggers:USER_REPLACES_ACTIVE_GOAL,G-MEASUREMENT;G-SCOPE
